Volume of Titrant (mL),pH Value
0.0,3.231879978889017
0.05025125628140704,3.8649246220015843
0.10050251256281408,4.167325065258757
0.15075376884422112,4.344791110147192
0.20100502512562815,4.4711089983810055
0.2512562814070352,4.569402556623862
0.30150753768844224,4.649971769598794
0.35175879396984927,4.718310976202569
0.4020100502512563,4.777699818826207
0.45226130653266333,4.83025374449639
0.5025125628140704,4.8774171750414945
0.5527638190954774,4.920220366414913
0.6030150753768845,4.959424029507472
0.6532663316582915,4.995605864006849
0.7035175879396985,5.029214932000117
0.7537688442211056,5.0606072270253835
0.8040201005025126,5.09006974024717
0.8542713567839196,5.117837217820075
0.9045226130653267,5.144104121191589
0.9547738693467337,5.1690333493662095
1.0050251256281408,5.1927627212837635
1.0552763819095479,5.2154098749683975
1.105527638190955,5.2370760259353295
1.155778894472362,5.2578488894620765
1.206030150753769,5.277804980466558
1.256281407035176,5.297011443585188
1.306532663316583,5.315527524105409
1.35678391959799,5.33340576114543
1.407035175879397,5.350692963734577
1.4572864321608041,5.367431015536352
1.5075376884422111,5.383657543092685
1.5577889447236182,5.399406474456479
1.6080402010050252,5.414708509104502
1.6582914572864322,5.4295915155196735
1.7085427135678393,5.4440808694049405
1.7587939698492463,5.458199742859248
1.8090452261306533,5.471969352807935
1.8592964824120604,5.485409175388682
1.9095477386934674,5.498537131742603
1.9597989949748744,5.51136974966875
2.0100502512562817,5.523922304809852
2.0603015075376887,5.536208944402883
2.1105527638190957,5.548242796116154
2.1608040201005028,5.560036064079096
2.21105527638191,5.571600113871887
2.261306532663317,5.582945547963954
2.311557788944724,5.5940822728612405
2.361809045226131,5.605019559032413
2.412060301507538,5.6157660945264025
2.462311557788945,5.626330033061961
2.512562814070352,5.636719037259478
2.562814070351759,5.646940317592385
2.613065326633166,5.657000667556949
2.663316582914573,5.666906495492786
2.71356783919598,5.67666385342978
2.763819095477387,5.686278463288892
2.814070351758794,5.6957557407229915
2.864321608040201,5.70510081684838
2.9145728643216082,5.7143185580871965
2.9648241206030153,5.723413584314497
3.0150753768844223,5.732390285481011
3.0653266331658293,5.741252836862813
3.1155778894472363,5.750005213071888
3.1658291457286434,5.758651200946599
3.2160804020100504,5.7671944114279245
3.2663316582914574,5.775638290515847
3.3165829145728645,5.783986129390186
3.3668341708542715,5.792241073771301
3.4170854271356785,5.800406132588258
3.4673366834170856,5.8084841860151455
3.5175879396984926,5.816477992930128
3.5678391959798996,5.8243901978463875
3.6180904522613067,5.832223337359294
3.6683417085427137,5.839979846149884
3.7185929648241207,5.8476620625808735
3.7688442211055277,5.855272233918067
3.819095477386935,5.862812521206957
3.869346733668342,5.870285003831565
3.919597989949749,5.877691683780192
3.969849246231156,5.885034489640463
4.020100502512563,5.8923152803441585
4.07035175879397,5.899535848680491
4.120603015075377,5.906697924594913
4.170854271356784,5.913803178289072
4.2211055276381915,5.920853223136242
4.2713567839195985,5.9278496184253555
4.3216080402010055,5.934793871945688
4.371859296482413,5.9416874424233015
4.42211055276382,5.948531741819409
4.472361809045227,5.955328137500078
4.522613065326634,5.962077954285928
4.572864321608041,5.968782476389792
4.623115577889448,5.975442949249736
4.673366834170855,5.982060581264261
4.723618090452262,5.9886365454359884
4.773869346733669,5.995171980929672
4.824120603015076,6.001667994549963
4.874371859296483,6.0081256621439545
4.92462311557789,6.014546029933161
4.974874371859297,6.020930115779271
5.025125628140704,6.0272789103877145
5.075376884422111,6.033593378452781
5.125628140703518,6.0398744597478
5.175879396984925,6.046123070163623
5.226130653266332,6.052340102698461
5.276381909547739,6.058526428401901
5.326633165829146,6.064682897275753
5.376884422110553,6.070810339134216
5.42713567839196,6.076909564425662
5.477386934673367,6.082981365018214
5.527638190954774,6.0890265149511515
5.577889447236181,6.095045771154049
5.628140703517588,6.101039874135422
5.678391959798995,6.107009548642575
5.728643216080402,6.112955504294211
5.778894472361809,6.1188784361873
5.8291457286432165,6.124779025479571
5.8793969849246235,6.130657939948977
5.9296482412060305,6.136515834531331
5.9798994974874375,6.142353351837308
6.030150753768845,6.148171122649879
6.080402010050252,6.153969766403246
6.130653266331659,6.159749891644231
6.180904522613066,6.165512096477057
6.231155778894473,6.1712569689923935
6.28140703517588,6.176985087681487
6.331658291457287,6.182697021836183
6.381909547738694,6.188393331935546
6.432160804020101,6.1940745700198265
6.482412060301508,6.199741280052408
6.532663316582915,6.205393998270392
6.582914572864322,6.211033253524419
6.633165829145729,6.216659567608301
6.683417085427136,6.222273455579021
6.733668341708543,6.227875426067611
6.78391959798995,6.233465981581418
6.834170854271357,6.239045618798234
6.884422110552764,6.244614828852744
6.934673366834171,6.250174097615727
6.984924623115578,6.255723905966436
7.035175879396985,6.261264730058548
7.085427135678392,6.266797041580086
7.135678391959799,6.272321308007669
7.185929648241206,6.277837992855454
7.236180904522613,6.283347555919115
7.28643216080402,6.288850453515197
7.336683417085427,6.294347138716157
7.386934673366834,6.2998380615814105
7.437185929648241,6.3053236693846895
7.4874371859296485,6.310804406838
7.5376884422110555,6.316280716312464
7.5879396984924625,6.321753038056342
7.63819095477387,6.327221810410482
7.688442211055277,6.332687470021485
7.738693467336684,6.3381504520528456
7.788944723618091,6.343611190394308
7.839195979899498,6.349070117869719
7.889447236180905,6.354527666443596
7.939698492462312,6.359984267426692
7.989949748743719,6.365440351680772
8.040201005025127,6.370896349822864
8.090452261306533,6.376352692429218
8.14070351758794,6.381809810239216
8.190954773869347,6.387268134359476
8.241206030150755,6.392728096468394
8.291457286432161,6.398190129021358
8.341708542713569,6.403654665456887
8.391959798994975,6.409122140403944
8.442211055276383,6.414592989890653
8.492462311557789,6.4200676515547075
8.542713567839197,6.425546564855679
8.592964824120603,6.431030171289535
8.643216080402011,6.43651891460559
8.693467336683417,6.44201324102619
8.743718592964825,6.447513599469393
8.793969849246231,6.453020441774927
8.84422110552764,6.458534222933726
8.894472361809045,6.46405540132134
8.944723618090453,6.469584438935521
8.99497487437186,6.475121801638316
9.045226130653267,6.480667959402981
9.095477386934673,6.486223386566067
9.145728643216081,6.491788562085029
9.195979899497488,6.497363969801718
9.246231155778895,6.502950098712144
9.296482412060302,6.508547443242898
9.34673366834171,6.514156503534649
9.396984924623116,6.519777785733151
9.447236180904524,6.525411802288192
9.49748743718593,6.531059072260977
9.547738693467338,6.536720121640409
9.597989949748744,6.54239548366881
9.648241206030152,6.548085699177597
9.698492462311558,6.55379131693349
9.748743718592966,6.55951289399584
9.798994974874372,6.565250996085709
9.84924623115578,6.571006197967347
9.899497487437186,6.5767790838427675
9.949748743718594,6.582570247760139
10.0,6.58838029403677
